Description,Status,Parking Included,Parking Price,Locker Included,Locker Price,Building Type,Deposit Structure
"208 Bloor Street West Condos is a new condominium development by Plaza Partners currently in pre-construction located at 208 Bloor Street West, Toronto in the The Annex neighbourhood with a 93/100 walk score and a 95/100 transit score. 208 Bloor Street West Condos is designed by BDP Quadrangle. The project is 34 storeys tall and has a total of 142 suites. 208 Bloor Street West Condos is currently in Registration Phase.",Pre-Construction,Yes,-,Yes,-,Condo,
"200 St Clair Ave Condos is a new condominium development by Stafford Homes currently in pre-construction located at 200 Saint Clair Avenue West, Toronto in the Forest Hill neighbourhood with a 88/100 walk score and a 87/100 transit score. The project is 12 storeys tall and has a total of 130 suites. 200 St Clair Ave Condos is currently in Registration Phase.",Pre-Construction,Yes,-,Yes,-,Condo,
"2 Bloor Street West Condos is a new condominium development by KingSett Capital currently in pre-construction located at 2 Bloor Street West, Toronto in the Yorkville neighbourhood with a 100/100 walk score and a 97/100 transit score. 2 Bloor Street West Condos is designed by Giannone Petricone Associates Inc.. The project is 75 storeys tall and has a total of 1,650 suites. 2 Bloor Street West Condos is currently in Registration Phase.",Pre-Construction,Yes,-,Yes,-,Condo,
"1956 Weston Road Condos is a new condominium development by Weston Asset Management currently in pre-construction located at 1956 Weston Road, Toronto in the Weston neighbourhood with a 92/100 walk score and a 80/100 transit score. 1956 Weston Road Condos is designed by Graziani + Corazza Architects Inc.. The project is 35 storeys tall and has a total of 733 suites. 1956 Weston Road Condos is currently in Registration Phase.",Pre-Construction,Yes,-,Yes,-,Condo,
"1837 Bayview Avenue Condos is a new condominium development by The Gupta Group currently in pre-construction located at 1837 Bayview Avenue, Toronto in the Leaside neighbourhood with a 82/100 walk score and a 71/100 transit score. 1837 Bayview Avenue Condos is designed by IBI Group. The project is 25 storeys tall and has a total of 288 suites. 1837 Bayview Avenue Condos is currently in Registration Phase.",Pre-Construction,Yes,-,Yes,-,Condo,
"1812 Eglinton Avenue West Condos is a new condominium development by DMJ Eglinton Development Corporation currently in pre-construction located at 1812 Eglinton Avenue West, Toronto in the Fairbank neighbourhood with a 81/100 walk score and a 78/100 transit score. 1812 Eglinton Avenue West Condos is designed by IBI Group. The project is 30 storeys tall and has a total of 381 suites. 1812 Eglinton Avenue West Condos is currently in Registration Phase.",Pre-Construction,Yes,-,Yes,-,Condo,
"1821 Weston Road Condos is a new condominium development by BSaR Group of Companies currently in pre-construction located at 1821 Weston Road, Toronto in the Weston neighbourhood with a 77/100 walk score and a 83/100 transit score. 1821 Weston Road Condos is designed by Turner Fleischer Architects. The project is 38 storeys tall and has a total of 446 suites. 1821 Weston Road Condos is currently in Registration Phase.",Pre-Construction,Yes,-,Yes,-,Condo,
"183 Avenue Road Condos is a new condominium development by K P Isberg Construction Inc currently in pre-construction located at 183 Avenue Road, Toronto in the Summerhill neighbourhood with a 97/100 walk score and a 91/100 transit score. 183 Avenue Road Condos is designed by BBB Architects. The project is 10 storeys tall and has a total of 18 suites. 183 Avenue Road Condos is currently in Registration Phase.",Pre-Construction,Yes,-,Yes,-,Condo,
"180 Sheppard Avenue East Condos is a new condominium development by Marpake Holdings Limited currently in pre-construction located at 180 Sheppard Avenue East, Toronto in the Willowdale neighbourhood with a 87/100 walk score and a 88/100 transit score. 180 Sheppard Avenue East Condos is designed by HOK. The project is 8 storeys tall and has a total of 7 suites. 180 Sheppard Avenue East Condos is currently in Registration Phase.",Pre-Construction,Yes,-,Yes,-,Condo,
"1670 Avenue Road Condos is a new condominium development by Starbank Group of Companies currently in pre-construction located at 1670 Avenue Road, Toronto in the Ledbury Park neighbourhood with a 75/100 walk score and a 69/100 transit score. 1670 Avenue Road Condos is designed by BDP Quadrangle. The project is 9 storeys tall and has a total of 58 suites. 1670 Avenue Road Condos is currently in Registration Phase.",Pre-Construction,Yes,-,Yes,-,Condo,
"1575 Lawrence Avenue West Condos is a new condominium development by Laguna Mar Holdings Inc. currently in pre-construction located at 1575 Lawrence Avenue West, Toronto in the Amesbury neighbourhood with a 48/100 walk score and a 70/100 transit score. 1575 Lawrence Avenue West Condos is designed by Giancarlo Garofalo Architect Inc.. The project is 11 storeys tall and has a total of 119 suites. 1575 Lawrence Avenue West Condos is currently in Registration Phase.",Pre-Construction,Yes,-,Yes,-,Condo,
"1563 Bathurst St Condos is a new condominium development by  currently in pre-construction located at 1563 Bathurst Street, Toronto in the Forest Hill neighbourhood with a 71/100 walk score and a 87/100 transit score. The project has a total of 10 suites. 1563 Bathurst St Condos is currently in Registration Phase.",Pre-Construction,Yes,-,Yes,-,Condo,
"155 Wychwood Avenue Condos is a new condominium development by Stanton Renaissance currently in pre-construction located at 155 Wychwood Avenue, Toronto in the Hillcrest Village St Clair-Humewood neighbourhood with a 94/100 walk score and a 89/100 transit score. The project has a total of 48 suites. 155 Wychwood Avenue Condos is currently in Registration Phase.",Pre-Construction,Yes,-,Yes,-,Condo,
"155 Balliol Street Condos is a new condominium development by Amelin Properties currently in pre-construction located at 155 Balliol Street, Toronto in the Davisville Village neighbourhood with a 84/100 walk score and a 79/100 transit score. 155 Balliol Street Condos is designed by BDP Quadrangle. The project is 37 storeys tall and has a total of 442 suites. 155 Balliol Street Condos is currently in Registration Phase.",Pre-Construction,Yes,-,Yes,-,Condo,
"150 Eglinton Avenue East Condos is a new condominium development by Madison Group currently in pre-construction located at 150 Eglinton Avenue East, Toronto in the Yonge & Eglinton neighbourhood with a 94/100 walk score and a 90/100 transit score. 150 Eglinton Avenue East Condos is designed by BDP Quadrangle. The project is 52 storeys tall and has a total of 845 suites. 150 Eglinton Avenue East Condos is currently in Registration Phase.",Pre-Construction,Yes,-,Yes,-,Condo,
"1474 St. Clair Avenue West Condos is a new condominium development by Berkley Group currently in pre-construction located at 1474 Saint Clair Avenue West, Toronto in the Corso Italia-Earlscourt neighbourhood with a 96/100 walk score and a 82/100 transit score. 1474 St. Clair Avenue West Condos is designed by RAW Design. The project is 8 storeys tall and has a total of 55 suites. 1474 St. Clair Avenue West Condos is currently in Registration Phase.",Pre-Construction,Yes,-,Yes,-,Condo,
"1410 Bayview Avenue Condos is a new condominium development by Gairloch currently in pre-construction located at 1410 Bayview Avenue, Toronto in the Davisville Village neighbourhood with a 90/100 walk score and a 63/100 transit score. 1410 Bayview Avenue Condos is designed by architectsAlliance. The project is 8 storeys tall and has a total of 52 suites. 1410 Bayview Avenue Condos is currently in Registration Phase.",Pre-Construction,Yes,-,Yes,-,Condo,
"1255 Bay Street Condos is a new condominium development by KingSett Capital currently in pre-construction located at 1255 Bay Street, Toronto in the Yorkville neighbourhood with a 99/100 walk score and a 92/100 transit score. 1255 Bay Street Condos is designed by BDP Quadrangle. The project is 35 storeys tall and has a total of 357 suites. 1255 Bay Street Condos is currently in Registration Phase.",Pre-Construction,Yes,-,Yes,-,Condo,
"124 Broadway Avenue Condos is a new condominium development by Reserve Properties currently in pre-construction located at 124 Broadway Avenue, Toronto in the Yonge & Eglinton neighbourhood with a 85/100 walk score and a 85/100 transit score. 124 Broadway Avenue Condos is designed by IBI Group. The project is 38 storeys tall and has a total of 459 suites. 124 Broadway Avenue Condos is currently in Registration Phase.",Pre-Construction,Yes,-,Yes,-,Condo,
"110 Avenue Road Condos is a new condominium development by Sierra Building Group currently in pre-construction located at 110 Avenue Road, Toronto in the The Annex neighbourhood with a 94/100 walk score and a 89/100 transit score. 110 Avenue Road Condos is designed by Richard Wengle Architect Inc.. The project is 9 storeys tall and has a total of 46 suites. 110 Avenue Road Condos is currently in Registration Phase.",Pre-Construction,Yes,-,Yes,-,Condo,
"11 Greenbriar Road Condos is a new condominium development by Artlife Developments currently in pre-construction located at 11 Greenbriar Road, Toronto in the Bayview Village neighbourhood with a 68/100 walk score and a 71/100 transit score. 11 Greenbriar Road Condos is designed by Studio JCI. The project is 4 storeys tall and has a total of 29 suites. 11 Greenbriar Road Condos is currently in Registration Phase.",Pre-Construction,Yes,-,Yes,-,Condo,
"100 Davenport Condos is a new condominium development by Diamante Development Corporation currently in pre-construction located at 100 Davenport Road, Toronto in the Yorkville neighbourhood with a 99/100 walk score and a 94/100 transit score. 100 Davenport Condos is designed by Scott Shields Architects. The project is 19 storeys tall (142.0m, 465.9ft) and has a total of 42 suites. 100 Davenport Condos is the # tallest condominium in  and the # tallest condominium in . 100 Davenport Condos is currently in Registration Phase.",Pre-Construction,Yes,-,Yes,-,Condo,
"10 St. Mary Condos is a new condominium development by Lifetime Developments currently in pre-construction located at 10 St. Mary Street, Toronto in the Discovery District neighbourhood with a 99/100 walk score and a 100/100 transit score. The project is 42 storeys tall (140.5m, 461.0ft) and has a total of 255 suites. 10 St. Mary Condos is the # tallest condominium in  and the # tallest condominium in . 10 St. Mary Condos is currently in Registration Phase.",Pre-Construction,Yes,-,Yes,-,Condo,
"1 Eglinton East Condos is a new condominium development by Davpart Inc. currently in pre-construction located at 1 Eglinton Avenue East, Toronto in the Davisville Village neighbourhood with a 99/100 walk score and a 94/100 transit score. 1 Eglinton East Condos is designed by Hariri Pontarini Architects. The project is 65 storeys tall (227.7m, 747.0ft) and has a total of 600 suites. 1 Eglinton East Condos is the # tallest condominium in  and the # tallest condominium in . 1 Eglinton East Condos is currently in Registration Phase.",Pre-Construction,Yes,-,Yes,-,Condo,
